HHID,HH size,Socialgroup,Religion,HHclassification,Land owned (hectares),Land possessed (hectares),Total monthly consumption expenditure (INR),Monthly income from non farm activity (INR),Monthly income from wage employment (INR),Monthly income from farming of animals (INR),Monthly income from crop production (INR),Total Monthly Income (INR),Frequency weight
72524501,4,9,4,5,1.904,12.434,25500,0,46333.33,8700,688.3333,55721.66,5815
72524502,7,9,4,1,1.268,7.343,28167,0,0,20183.33,56935,77118.34,5815
72525101,4,9,4,1,0.608,0.608,9750,0,0,3663.333,11865.83,15529.17,323
72525301,3,9,4,1,0.834,0.834,9750,0,0,5133.333,9300.833,14434.17,81
72525302,6,9,4,1,0.834,0.834,7667,0,0,2640,9625,12265,81
72525304,3,9,4,1,0.644,0.644,10250,0,0,3893.333,15795.83,19689.17,81
72525402,4,9,4,1,0.632,0.632,10250,0,2083.333,2873.333,15991.67,20948.33,774
72525501,4,9,4,1,4.475,4.475,15417,0,0,3686.667,43973.08,47659.75,323
72525502,6,9,4,6,2.43,2.43,19083,0,41666.67,11866.67,33823.33,87356.67,323
72526201,4,2,1,8,0.008,0.012,6800,0,5750,3150,0,8900,137
72526202,5,2,1,4,0.008,0.008,13500,0,9750,333.3333,0,10083.33,137
72526203,5,2,1,6,0.016,0.016,16700,0,10083.33,1046.667,0,11130,137
72526204,4,2,1,9,0.012,0.012,9700,0,1950,2456.667,0,4406.667,137
72526205,4,2,1,6,0.02,0.02,11000,0,20916.67,4293.333,0,25210,137
72526206,5,2,1,8,0.008,0.008,7700,0,7833.333,2023.333,0,9856.667,137
72526207,4,2,1,2,0.016,0.016,6000,0,6341.667,-183.3333,0,6158.333,137
72526208,6,2,1,2,0.016,0.016,12600,0,6750,1966.667,0,8716.667,137
72527201,5,3,4,8,0.47,0.47,13000,0,22333.33,1783.333,3415.75,27532.42,392
72527202,3,3,4,4,0.166,0.166,11000,5333.333,0,0,483.3333,5816.667,392
72527301,7,3,4,4,0.822,0.822,18200,0,0,6633.333,8895.833,15529.17,196
72527302,4,3,4,4,0.336,0.336,14000,77333.34,0,0,867.3333,78200.67,196
72527303,5,3,4,1,2.847,2.847,16717,0,0,4400,22540,26940,196
72527401,4,3,4,6,1.227,1.227,13000,0,15833.33,3500,4574.583,23907.92,98
72527402,7,9,4,1,0.62,1.025,21000,0,0,2000,7025.167,9025.166,98
72527501,5,3,4,6,2.442,2.442,16500,0,200000,0,13900,213900,98
72528501,5,9,4,1,3.293,3.293,24000,0,0,9280,4433.333,13713.33,147
72528502,4,3,4,1,0.616,6.083,23500,0,0,5350,4791.667,10141.67,147
72529101,7,2,4,8,0.016,0.016,12000,0,9583.333,-1900,0,7683.333,22464
72529201,3,9,4,8,0.316,0.316,15367,0,15000,1983.333,4055,21038.33,8352
72529301,2,9,1,1,0.859,2.479,19200,0,0,5966.667,26390.17,32356.83,1584
72529302,8,3,2,1,0.83,1.843,25250,0,0,3566.667,19570.83,23137.5,1584
72529401,11,9,1,4,0.859,0.859,25000,66666.66,16666.67,4433.333,9280.833,97047.5,1440
72529501,6,9,4,1,0.454,0.867,21850,0,0,1200,7317.5,8517.5,3888
72529502,5,9,4,1,2.074,6.124,24583,0,0,37706.67,45683.33,83390,3888
72530201,6,3,4,2,0.024,0.024,12500,0,0,6383.333,0,6383.333,1075
72530202,5,3,4,6,0.012,0.012,11500,0,1666.667,5410,0,7076.667,1075
72530301,2,9,4,1,0.749,0.749,9917,0,0,7040,7929.167,14969.17,3531
72530302,7,9,4,1,0.437,0.437,20667,0,7500,6966.667,4783.333,19250,3531
72530401,5,9,4,1,1.64,1.64,16000,0,0,7783.333,18510.83,26294.17,1382
72530402,6,9,4,1,1.239,1.239,13000,0,0,5216.667,14962.5,20179.17,1382
72530501,3,9,4,1,2.454,2.454,12000,0,0,5266.667,23141.67,28408.33,1535
72530502,5,9,4,1,2.057,2.057,12800,0,0,8333.333,24130.33,32463.67,1535
72531201,6,2,1,8,0.32,0.32,7850,0,1666.667,3466.667,3129.583,8262.917,846
72531202,5,2,1,8,0.028,0.028,8300,0,10416.67,166.6667,85,10668.33,846
72531301,5,2,1,1,0.992,0.992,15000,0,0,1900,7000.667,8900.666,1375
72531302,5,2,1,9,0.32,0.32,10800,0,0,0,2700.833,2700.833,1375
72531401,4,9,1,1,1.632,1.632,12000,0,0,-516.6667,11000.83,10484.17,1058
72531402,4,9,1,1,1.737,1.737,42167,0,11000,4466.667,11470.83,26937.5,1058
72531501,8,9,1,1,5.711,5.711,25000,0,0,1316.667,59928.42,61245.09,1163
72531502,10,9,1,1,3.694,3.694,28000,0,0,4483.333,21976.67,26460,1163
72532201,7,3,4,8,1.025,1.025,17667,0,6916.667,916.6667,10733.33,18566.67,1859
72532202,4,9,4,6,0.32,0.32,11000,0,23333.33,0,3740.667,27074,1859
72532302,4,9,4,1,0.859,0.859,12417,0,0,4933.333,15899.58,20832.92,9558
72532402,6,9,4,1,2.045,2.045,15000,0,10300,0,16958.33,27258.33,5310
72532501,8,9,4,1,1.247,2.26,20000,0,9000,2416.667,11801.25,23217.92,3186
72533201,5,2,4,7,0.215,0.215,15000,0,14083.33,4050,787.5,18920.83,26
72533202,3,2,4,8,0.243,0.243,8000,0,5500,333.3333,789.1667,6622.5,26
72533301,8,2,4,1,0.911,0.911,20083,0,11591.67,773.3333,6645,19010,18
72533401,3,9,4,1,1.053,1.053,10000,0,0,6650,11230.83,17880.83,22
72533402,3,9,4,1,0.632,0.632,10250,0,0,-2523.333,5960.417,3437.083,22
72533403,2,9,4,1,1.029,1.029,7000,0,0,1616.667,7402.25,9018.917,22
72533404,10,9,4,1,1.721,1.721,26000,0,0,17040,12613.83,29653.83,22
72533501,4,9,4,1,2.106,2.106,11083,0,0,6000,19904.17,25904.17,166
72533502,3,3,4,1,1.94,1.94,16000,0,0,3216.667,17324.33,20541,166
72534201,4,9,4,2,0.219,0.219,10567,0,0,14366.67,4929.167,19295.83,383
72534202,3,3,4,2,0.17,0.17,11833,0,0,8700,883.3333,9583.333,383
72534301,2,9,4,1,0.417,0.417,10333,0,0,6173.333,3248.333,9421.667,561
72534302,3,9,4,1,0.413,0.413,12100,0,0,923.3333,3540.417,4463.75,561
72534401,6,9,4,1,2.45,2.45,15000,0,0,9466.667,19793.33,29260,204
72534402,6,9,6,1,1.434,1.434,16000,0,0,0,15098.33,15098.33,204
72534501,10,3,4,1,4.074,4.074,29500,0,0,766.6667,41857.5,42624.17,102
72534502,4,9,4,1,2.867,2.867,12500,0,0,9700,30239.17,39939.16,102
72535102,4,9,1,4,0.012,0.012,10500,270000,0,666.6667,0,270666.7,383
72535201,3,2,4,9,0.207,0.207,9833,1833.333,0,0,1185,3018.333,51
72535202,4,2,4,2,0.113,0.113,12667,0,55833.33,0,919.0833,56752.41,51
72535301,3,9,1,1,0.818,0.818,7000,0,0,-333.3333,3790,3456.667,68
72535302,4,2,1,1,0.429,0.429,11000,0,0,0,1625,1625,68
72535303,7,2,1,1,0.814,0.814,19500,0,0,1783.333,3508.333,5291.667,68
72535502,6,9,1,1,2.033,2.033,12333,0,0,0,8004.25,8004.25,77
72535503,5,9,1,1,2.025,8.946,15000,0,0,6897,28359.5,35256.5,77
72536201,5,2,1,2,0,0.049,10000,0,1250,27500,-319.1667,28430.83,32
72536202,4,2,4,1,0.012,0.012,15000,0,0,2733.333,0,2733.333,32
72536301,6,2,4,2,0.024,0.267,8000,0,2208.333,4500,-530.8333,6177.5,63
72536302,6,2,1,1,0.842,0.842,10000,0,0,6583.333,8001.667,14585,63
72536401,5,2,1,1,1.693,1.693,20000,0,0,11100,14252.08,25352.08,32
72536501,2,2,1,1,3.694,3.694,7500,0,0,0,50743.67,50743.67,53
72536502,6,2,4,1,0.024,2.049,15000,0,2083.333,6756.667,14932.75,23772.75,53
72536503,6,2,1,1,6.156,6.156,20000,0,0,0,103700,103700,53
72537101,8,9,4,1,12.271,12.271,19083,0,0,40500,69483.34,109983.3,70
72537301,3,9,4,1,0.822,0.822,10000,0,0,700,12916.67,13616.67,16
72537302,4,9,4,1,0.822,0.822,11000,0,0,933.3333,8600,9533.333,16
72537303,3,9,4,1,0.822,0.822,10000,0,0,800,9991.667,10791.67,16
72537304,2,9,4,1,0.822,0.822,6000,0,0,1033.333,9341.667,10375,16
72537401,3,9,4,1,1.239,1.239,10000,0,0,-700,12241.67,11541.67,54
72537402,2,9,4,1,1.644,1.644,6000,0,0,1166.667,13083.33,14250,54
